name,pop,lat,lon
"Padgett Business Svc,  8800 Hohenberger Rd,  Foley,  AL",7,30.4,-87.68
"Pricewaterhouse Coopers,  PO Box 10688,  Birmingham,  AL",7,33.52,-86.79
"Jackson Thornton Technologies,  PO Box 96,  Montgomery,  AL",7,32.35,-86.28
"Padgett Business Svc,  1254 E Broadway Rd,  Mesa,  AZ",7,33.39,-111.78
"Larson Allen Llc,  1201 S Alma School Rd Ste 14000,  Mesa,  AZ",7,33.38,-111.84
"Padgett Business Svc Of Mesa,  941 N Orchard,  Mesa,  AZ",7,33.44,-111.76
"Pricewaterhouse Coopers,  1850 N Central Ave Ste 700,  Phoenix,  AZ",7,33.44,-112.07
"Ernst & Young,  2 N Central Ave Ste 2300,  Phoenix,  AZ",7,33.44,-112.07
"KPMG,  400 E Van Buren St Ste 1100,  Phoenix,  AZ",7,33.44,-112.07
"Cbiz Mnm Llc,  3101 N Central Ave Ste 300,  Phoenix,  AZ",7,33.5,-112.07
"Banner Health Patient Fncl Svc,  PO Box 2978,  Phoenix,  AZ",7,33.46,-111.98
"Reznick Group Pc,  400 Capitol Mall Ste 900,  Sacramento,  CA",7,38.58,-121.49
"Singer Lewak Greenbaum Cpas,  10960 Wilshire Blvd Ste 1100,  Los Angeles,  CA",7,34.06,-118.43
"KPMG,  6032 Katella Ave,  Cypress,  CA",7,33.81,-118.03
"Windes & Mc Claughry Corp,  PO Box 87,  Long Beach,  CA",7,33.77,-118.18
"Deloitte,  655 W Broadway Ste 700,  San Diego,  CA",7,32.71,-117.16
"KPMG,  750 B St Ste 1500,  San Diego,  CA",7,32.71,-117.16
"KPMG Llc,  4747 Executive Dr Ste 600,  San Diego,  CA",7,32.9,-117.2
"Mayer Hoffman Mc Cann Pc,  10616 Scripps Summit Ct,  San Diego,  CA",7,32.89,-117.07
"Pricewaterhouse Coopers,  2020 Main St Ste 400,  Irvine,  CA",7,33.68,-117.85
"Moss Adams Llp,  2030 Main St Ste 1400,  Irvine,  CA",7,33.68,-117.85
"Ceridian Tax Svc Inc,  17390 Brookhurst St,  Fountain Valley,  CA",7,33.71,-117.94
"Capgemini,  555 California St Ste 1800,  San Francisco,  CA",7,37.79,-122.4
"BDO Evaultions Svc,  1 Market St Ste 1100,  San Francisco,  CA",7,37.78,-122.39
"BDO Seidman,  1 Market St Ste 1100,  San Francisco,  CA",7,37.78,-122.39
"Grant Thornton Llp,  1 California St Ste 2300,  San Francisco,  CA",7,37.79,-122.39
"Novogradac & Co Llp,  PO Box 7833,  San Francisco,  CA",7,37.79,-122.4
"ADP,  3300 Olcott St,  Santa Clara,  CA",7,37.39,-121.96
"Med America Billing Svc Inc,  1601 Cummins Dr Ste D,  Modesto,  CA",7,37.65,-121.13
"KPMG,  400 Capitol Mall Ste 800,  Sacramento,  CA",7,38.58,-121.49
"Sutter Independent Physicians,  10470 Old Placerville Rd,  Sacramento,  CA",7,38.55,-121.32
"Padgett Business Svc,  124 Oak Ave,  Eaton,  CO",7,40.52,-104.71
"Padgett Business Svc,  12000 Washington St Ste 315,  Thornton,  CO",7,39.76,-104.87
"Padgett Business Svc,  360 S Monroe St Ste 370,  Denver,  CO",7,39.76,-104.87
"Padgett Business Svc West,  6075 S Quebec St,  Englewood,  CO",7,39.64,-104.99
"Ernst & Young,  370 17th St Ste 3300,  Denver,  CO",7,39.76,-104.87
"Hein & Assoc,  717 17th St Ste 1600,  Denver,  CO",7,39.76,-104.87
